Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
Stockholm,1,92.9%,78.6%,1.64,90.9%,100.0%,37.5%,29.5,0.36,Ancient
Jeeves,1,86.7%,64.3%,1.27,100.0%,66.7%,23.1%,45.8,0.60,Ancient
Xtreme5,1,86.7%,73.3%,1.20,100.0%,50.0%,23.5%,49.5,0.27,Ancient
USA fe,1,81.2%,68.8%,1.12,100.0%,40.0%,32.4%,35.8,0.31,Ancient
11 minutos tarde,1,76.5%,75.0%,1.12,83.3%,60.0%,24.3%,24.1,0.53,Ancient
GALAXY,1,81.2%,50.0%,1.25,100.0%,62.5%,40.0%,25.1,0.25,Ancient
Sweet Aim Bro,1,65.0%,40.0%,1.00,87.5%,50.0%,22.4%,29.6,0.10,Ancient
Shush,1,92.9%,57.1%,1.07,100.0%,83.3%,35.7%,13.1,0.21,Ancient
Lewandownskie,1,81.2%,62.5%,1.19,90.0%,66.7%,22.7%,33.4,0.25,Ancient
BEZPRESSA,1,76.5%,82.4%,1.24,85.7%,33.3%,23.1%,22.2,0.18,Ancient
ACME,2,78.8%,72.7%,1.15,95.8%,33.3%,21.2%,30.8,0.18,Ancient
Invictum,1,65.0%,75.0%,1.05,86.7%,0.0%,17.9%,19.6,0.20,Ancient
15 Average,1,68.4%,57.9%,1.21,90.9%,37.5%,26.4%,28.4,0.47,Ancient
Imp Pact fe,4,70.0%,54.3%,1.09,84.2%,53.1%,26.6%,32.2,0.21,Ancient
Goliath,2,78.8%,48.5%,1.21,87.5%,70.6%,32.3%,24.1,0.09,Ancient
Wolves,1,68.4%,63.2%,1.16,83.3%,42.9%,24.1%,24.1,0.42,Ancient
FPL Friends,2,74.3%,68.6%,1.14,79.2%,63.6%,27.7%,44.0,0.23,Ancient
Belarus,1,72.2%,66.7%,1.33,66.7%,83.3%,15.1%,32.7,0.67,Ancient
Juggernauts,1,65.0%,65.0%,1.25,69.2%,57.1%,27.9%,28.4,0.45,Ancient
Snakes Den,2,70.3%,48.6%,1.00,88.9%,52.6%,26.9%,30.7,0.27,Ancient
Fishing The Bait,1,72.2%,55.6%,0.94,90.0%,50.0%,41.5%,30.2,0.33,Ancient
FURIA fe,13,68.4%,58.4%,1.06,83.0%,47.9%,25.5%,28.6,0.30,Ancient
Maximum Ego,1,86.7%,60.0%,1.13,100.0%,66.7%,36.6%,32.3,0.60,Ancient
Sunds Gymnasiet,2,66.7%,76.3%,0.97,79.3%,30.0%,32.0%,37.1,0.21,Ancient
paiN,2,66.7%,76.9%,1.00,80.0%,22.2%,26.2%,28.9,0.21,Ancient
ClayMakers,1,72.2%,66.7%,1.11,75.0%,66.7%,20.0%,38.8,0.11,Ancient
Arrow,2,65.0%,70.0%,0.97,75.0%,41.7%,23.3%,37.0,0.30,Ancient
France fe,4,65.5%,59.5%,0.98,80.4%,42.4%,22.8%,38.1,0.23,Ancient
Glamour,2,57.5%,45.0%,1.02,83.3%,36.4%,24.2%,22.1,0.28,Ancient
Brasil Storm fe,1,68.4%,78.9%,1.05,73.3%,50.0%,32.2%,27.0,0.16,Ancient
MAKING HISTORY,1,61.9%,61.9%,1.00,69.2%,50.0%,17.7%,29.6,0.10,Ancient
Fire Flux,4,63.2%,59.2%,0.99,84.4%,32.3%,26.3%,22.0,0.28,Ancient
premdesant,1,72.2%,55.6%,1.00,90.0%,50.0%,21.8%,13.7,0.17,Ancient
Grayhound,10,67.9%,59.0%,0.98,84.3%,44.7%,21.1%,32.5,0.29,Ancient
HAVENs,2,70.3%,62.2%,1.08,87.0%,42.9%,34.2%,28.8,0.46,Ancient
Alter Iron,1,65.0%,50.0%,1.05,60.0%,70.0%,21.2%,20.3,0.35,Ancient
Honvéd,4,61.9%,59.5%,1.01,76.0%,41.2%,28.8%,32.7,0.24,Ancient
Fisher College,3,60.9%,50.0%,0.95,78.1%,43.8%,22.5%,34.2,0.36,Ancient
INFURITY,2,57.8%,42.2%,0.98,84.2%,38.5%,23.7%,36.1,0.24,Ancient
BUHAWI,2,54.1%,56.8%,0.86,81.0%,18.8%,23.7%,33.0,0.27,Ancient
TRAFFIC Tashkent,3,66.1%,47.5%,1.10,85.7%,48.4%,23.4%,14.8,0.05,Ancient
Reveal,2,61.9%,47.6%,0.83,95.0%,31.8%,24.8%,39.1,0.60,Ancient
Kazakhstan,3,61.9%,46.0%,1.00,75.9%,50.0%,28.3%,28.0,0.30,Ancient
Kubix,4,65.0%,52.5%,0.91,81.0%,47.4%,21.9%,26.2,0.23,Ancient
panelinha,1,65.0%,35.0%,0.75,100.0%,46.2%,22.2%,32.1,0.35,Ancient
M1X KS,1,56.5%,43.5%,1.04,80.0%,38.5%,17.9%,30.7,0.30,Ancient
Dreams To Legends,3,60.9%,56.2%,0.98,83.3%,32.1%,24.3%,21.7,0.17,Ancient
Blockbusters,1,61.9%,57.1%,1.00,83.3%,33.3%,31.2%,22.0,0.24,Ancient
ECF,5,62.2%,46.4%,0.92,80.0%,47.2%,22.9%,23.1,0.27,Ancient
IKLA,7,61.8%,57.2%,0.89,78.2%,40.0%,22.5%,26.2,0.16,Ancient
Sweden fe,1,59.1%,45.5%,0.91,90.0%,33.3%,27.9%,26.9,0.23,Ancient
Limitless Angels,2,65.0%,55.0%,0.82,90.9%,33.3%,23.3%,30.1,0.10,Ancient
ex-FORZE Ladies,1,59.1%,45.5%,1.09,90.0%,33.3%,20.0%,27.0,0.23,Ancient
Slovakia,3,58.7%,55.6%,1.00,80.0%,32.1%,23.7%,31.2,0.33,Ancient
Spirit HU,1,65.0%,60.0%,0.95,91.7%,25.0%,29.2%,13.2,0.45,Ancient
Serbia,6,59.2%,58.3%,0.88,81.7%,26.5%,27.1%,32.8,0.36,Ancient
JiJieHao,6,52.8%,60.8%,1.00,73.7%,20.4%,25.6%,25.5,0.14,Ancient
Grindas,1,68.4%,63.2%,0.95,83.3%,42.9%,24.1%,22.8,0.26,Ancient
Smoke fe,2,61.4%,51.2%,1.02,73.9%,47.6%,25.7%,24.8,0.25,Ancient
GTZ,2,63.4%,58.5%,0.83,79.2%,41.2%,16.4%,30.5,0.29,Ancient
Memo,2,58.5%,51.2%,1.05,71.4%,45.0%,19.3%,33.0,0.17,Ancient
Tropa do Taco,5,56.7%,47.8%,0.97,76.7%,38.3%,18.7%,19.8,0.34,Ancient
Liquid,31,58.6%,55.1%,0.90,76.0%,37.3%,21.8%,31.3,0.34,Ancient
Blaze Warriors,1,59.1%,59.1%,0.91,92.3%,11.1%,26.5%,22.9,0.00,Ancient
SemperFi,3,56.2%,56.2%,0.82,73.3%,34.3%,25.1%,17.1,0.25,Ancient
FLUFFY MAFIA,5,60.2%,53.4%,0.94,80.0%,37.5%,26.2%,25.0,0.25,Ancient
Slugy's Shekel Squad,1,61.9%,42.9%,0.90,88.9%,41.7%,32.9%,21.1,0.14,Ancient
CUBE,4,59.3%,60.5%,1.01,79.6%,28.1%,26.4%,31.3,0.20,Ancient
WINDINGO,3,55.7%,51.4%,0.97,86.1%,23.5%,19.5%,27.8,0.19,Ancient
Kosovo,1,54.2%,54.2%,1.00,69.2%,36.4%,22.1%,27.3,0.42,Ancient
Argentina,1,56.5%,65.2%,0.83,66.7%,37.5%,22.9%,17.3,0.43,Ancient
Permitta W,3,51.8%,55.4%,0.96,77.4%,20.0%,20.3%,15.9,0.14,Ancient
Marcos,7,56.8%,52.3%,0.94,86.4%,24.3%,24.1%,26.7,0.26,Ancient
En av de lette,2,55.2%,56.9%,0.91,72.7%,32.0%,16.8%,29.4,0.21,Ancient
Bad News Chickens,6,54.9%,60.7%,0.88,75.0%,24.4%,25.1%,34.3,0.38,Ancient
Parkers Money Crew,1,59.1%,50.0%,1.00,90.9%,27.3%,17.1%,27.1,0.18,Ancient
MungYu,2,54.7%,58.5%,0.87,67.7%,36.4%,20.7%,28.1,0.21,Ancient
MIBR fe,11,56.2%,49.8%,0.94,78.7%,33.9%,26.6%,24.1,0.26,Ancient
AURA,3,57.4%,50.0%,0.89,74.1%,40.7%,28.2%,27.1,0.17,Ancient
Partizan,4,60.9%,64.4%,0.89,73.2%,38.7%,21.5%,28.3,0.29,Ancient
regnum4games,2,60.5%,46.5%,0.91,75.0%,47.8%,30.3%,21.2,0.30,Ancient
Bravado,5,55.2%,62.1%,0.90,75.9%,21.2%,16.8%,17.5,0.36,Ancient
Spirit,29,57.0%,53.0%,0.82,76.7%,34.9%,21.1%,26.8,0.22,Ancient
RAGE,1,59.1%,54.5%,1.00,83.3%,30.0%,25.6%,38.7,0.32,Ancient
M80,60,57.6%,53.4%,0.91,76.4%,36.0%,22.0%,27.4,0.36,Ancient
NIP Impact,14,54.2%,49.5%,0.93,80.5%,28.3%,22.6%,27.3,0.26,Ancient
Esprots,4,48.1%,41.6%,0.91,68.8%,33.3%,19.8%,22.8,0.23,Ancient
megoshort,3,54.1%,56.8%,0.91,69.0%,34.4%,22.4%,24.3,0.26,Ancient
MAG,9,55.5%,56.6%,0.93,76.7%,27.8%,18.0%,21.2,0.20,Ancient
Imperial fe,8,56.9%,60.6%,0.89,73.2%,31.7%,19.7%,21.8,0.20,Ancient
Rounds,3,54.7%,50.0%,0.89,81.2%,28.1%,16.1%,28.5,0.23,Ancient
Budapest Five,2,53.8%,66.7%,0.85,73.1%,15.4%,16.4%,20.7,0.13,Ancient
MIBR,45,56.2%,53.7%,0.84,77.3%,31.6%,22.2%,23.4,0.28,Ancient
Legacy IN,1,52.8%,52.8%,1.03,63.2%,41.2%,21.9%,30.3,0.17,Ancient
9z,41,55.7%,55.7%,0.85,75.7%,30.8%,20.6%,24.1,0.22,Ancient
Duck Duck Goose,1,54.2%,45.8%,0.88,72.7%,38.5%,25.3%,34.5,0.08,Ancient
Badass,11,57.9%,58.8%,0.90,73.6%,36.0%,24.6%,26.7,0.21,Ancient
ORKS,2,61.9%,47.6%,0.79,70.0%,54.5%,17.1%,12.8,0.17,Ancient
CatEvil,9,56.1%,50.0%,0.81,80.8%,31.3%,24.4%,21.4,0.19,Ancient
FaZe,33,54.4%,51.3%,0.86,73.8%,34.1%,20.4%,24.2,0.23,Ancient
WDG,1,59.1%,54.5%,0.95,66.7%,50.0%,24.7%,44.4,0.14,Ancient
The MongolZ,49,56.4%,53.0%,0.88,77.2%,33.0%,19.9%,29.0,0.26,Ancient
Coalesce,1,55.2%,62.1%,1.03,66.7%,36.4%,25.8%,36.9,0.41,Ancient
Pigeons,11,52.4%,58.1%,0.86,71.4%,26.0%,20.5%,23.8,0.15,Ancient
choccy milk,1,53.7%,61.0%,0.93,72.0%,25.0%,16.9%,20.5,0.17,Ancient
Johnny Speeds,47,53.6%,51.5%,0.89,74.1%,31.6%,20.1%,25.5,0.25,Ancient
Locke's Kittens,3,58.2%,49.3%,1.01,81.8%,35.3%,24.4%,22.3,0.28,Ancient
Venom,3,51.6%,54.8%,0.77,69.4%,26.9%,19.7%,22.2,0.32,Ancient
Nouns,57,55.5%,51.4%,0.89,75.9%,33.9%,22.6%,27.1,0.27,Ancient
IHC,15,54.6%,52.1%,0.91,74.5%,32.9%,20.1%,22.4,0.31,Ancient
BIG EQUIPA,14,55.0%,51.5%,0.96,78.5%,30.2%,23.6%,21.2,0.22,Ancient
Fluxo Demons,14,56.7%,53.4%,0.88,80.4%,29.6%,24.7%,28.8,0.34,Ancient
timbermen,12,56.8%,49.4%,0.85,78.8%,35.8%,24.5%,29.7,0.17,Ancient
Divine Vendetta,1,56.5%,56.5%,0.78,76.9%,30.0%,15.5%,25.5,0.26,Ancient
Norway,6,56.6%,50.8%,1.02,83.9%,28.3%,23.1%,24.5,0.13,Ancient
NAVI Junior,45,56.1%,52.9%,0.86,74.8%,35.1%,22.4%,25.0,0.20,Ancient
ECLOT,48,52.2%,51.0%,0.85,74.6%,28.9%,21.5%,21.1,0.22,Ancient
NAVI Javelins,18,56.7%,50.0%,0.92,79.9%,33.7%,22.1%,21.0,0.25,Ancient
MOUZ,23,54.6%,54.2%,0.87,74.8%,30.6%,22.9%,28.0,0.34,Ancient
Exceed,2,51.2%,65.0%,0.80,69.2%,20.0%,20.6%,29.0,0.20,Ancient
Sharks,45,54.0%,52.3%,0.86,74.8%,30.9%,25.4%,24.9,0.24,Ancient
Karma,3,50.8%,50.8%,0.90,80.0%,20.7%,21.5%,28.5,0.29,Ancient
Nemiga,81,55.9%,52.9%,0.85,75.5%,33.9%,21.7%,29.6,0.25,Ancient
ex-SPORT,1,56.5%,39.1%,0.96,77.8%,42.9%,27.3%,28.7,0.43,Ancient
NRG,53,54.7%,51.5%,0.86,75.0%,32.9%,22.6%,23.3,0.32,Ancient
Zomblers,2,56.2%,52.1%,0.88,84.0%,26.1%,28.0%,31.1,0.27,Ancient
RAPTORS EC,3,50.0%,56.7%,0.83,70.6%,23.1%,23.4%,25.7,0.12,Ancient
L&G,18,53.8%,52.0%,0.82,78.2%,27.4%,22.6%,25.0,0.31,Ancient
The Witchers,6,50.8%,57.7%,0.84,60.6%,37.7%,18.5%,22.6,0.13,Ancient
Wu-Tang,1,45.8%,47.8%,0.75,81.8%,15.4%,18.1%,38.0,0.17,Ancient
dream catchers fe,9,53.4%,49.2%,0.95,78.5%,29.2%,22.7%,22.3,0.30,Ancient
Monte,46,53.0%,50.8%,0.86,74.3%,30.9%,21.5%,25.4,0.24,Ancient
THE,2,51.2%,46.5%,0.88,65.0%,39.1%,26.6%,31.6,0.19,Ancient
Hong Kong fe,1,45.7%,42.9%,1.03,86.7%,15.0%,27.9%,15.2,0.23,Ancient
Fluxo,58,55.0%,52.1%,0.82,76.1%,31.9%,20.1%,24.4,0.26,Ancient
Wisby Gymnasiet,2,57.6%,37.5%,0.88,91.7%,38.1%,13.3%,24.4,0.15,Ancient
Pantsu,3,50.0%,57.1%,0.83,62.5%,33.3%,18.4%,32.3,0.24,Ancient
Victorum,1,46.7%,63.3%,0.87,68.4%,9.1%,19.6%,32.7,0.63,Ancient
Alter Ego,5,52.4%,47.6%,0.89,79.6%,27.8%,21.5%,29.2,0.53,Ancient
ex-2GAME,1,54.2%,54.2%,0.92,61.5%,45.5%,24.4%,16.5,0.33,Ancient
Natus Vincere,34,53.9%,53.5%,0.81,74.4%,30.3%,19.9%,20.9,0.27,Ancient
DEAC,1,54.2%,54.2%,0.92,64.3%,40.0%,21.2%,25.2,0.29,Ancient
Australia fe,1,52.4%,47.6%,0.86,85.0%,22.7%,19.6%,26.4,0.31,Ancient
ex-iNation,2,57.9%,57.9%,0.91,63.6%,50.0%,23.8%,25.8,0.21,Ancient
Filhos de D10S,2,53.8%,47.7%,0.89,77.4%,32.4%,22.5%,29.7,0.35,Ancient
inSanitY fe,8,50.9%,54.5%,0.87,74.7%,22.4%,21.5%,20.6,0.29,Ancient
Legacy,53,54.1%,54.7%,0.85,75.4%,28.6%,22.3%,23.5,0.34,Ancient
fnatic,56,53.1%,52.9%,0.82,72.0%,32.0%,21.5%,24.7,0.26,Ancient
DRILLAS,16,51.2%,52.5%,0.84,71.7%,28.2%,23.1%,25.1,0.26,Ancient
KZG,18,55.2%,55.1%,0.82,70.7%,36.1%,22.0%,23.7,0.18,Ancient
Sprout,16,54.2%,51.3%,0.87,75.3%,32.2%,18.0%,25.7,0.28,Ancient
ILIN,2,54.2%,54.2%,0.81,78.8%,23.1%,21.6%,25.4,0.29,Ancient
Kazakhstan fe,2,47.8%,58.7%,0.74,70.4%,15.8%,21.5%,23.8,0.07,Ancient
PARIVISION,36,51.8%,53.5%,0.81,74.2%,25.9%,20.8%,28.0,0.28,Ancient
HOTU,36,53.3%,55.8%,0.86,73.2%,28.2%,21.9%,20.0,0.25,Ancient
-72c,8,47.8%,47.8%,0.87,68.4%,28.9%,21.0%,25.4,0.13,Ancient
esmagaB,6,50.0%,56.7%,0.92,66.2%,28.1%,20.3%,21.5,0.27,Ancient
Qiang,2,47.7%,44.2%,0.82,73.7%,28.0%,20.7%,18.8,0.25,Ancient
ESC,4,51.6%,54.9%,0.82,66.0%,34.1%,22.0%,24.6,0.33,Ancient
ATOX,33,53.1%,52.6%,0.88,70.7%,33.1%,20.1%,26.2,0.26,Ancient
Aurora,50,50.9%,50.5%,0.85,73.0%,28.5%,20.5%,25.6,0.21,Ancient
9 Pandas,46,52.9%,52.1%,0.84,72.7%,31.2%,21.7%,25.3,0.29,Ancient
JOGA DE TERNO,3,53.0%,48.5%,0.91,68.8%,38.2%,24.6%,21.7,0.27,Ancient
CEPTER,2,56.5%,43.5%,0.85,65.0%,50.0%,26.6%,29.8,0.28,Ancient
CYBERSHOKE,39,52.5%,54.3%,0.83,74.2%,26.9%,19.5%,25.8,0.19,Ancient
Divina fe,4,51.1%,52.3%,0.93,69.6%,31.0%,21.6%,18.8,0.24,Ancient
K10,11,52.8%,53.2%,0.88,73.6%,28.7%,22.2%,25.1,0.28,Ancient
SHPL,3,39.7%,47.6%,0.84,50.0%,30.3%,20.0%,23.0,0.17,Ancient
BIG,51,53.4%,52.7%,0.84,71.9%,32.6%,20.5%,26.3,0.30,Ancient
K10 Ashes,1,45.8%,47.8%,1.00,63.6%,30.8%,25.0%,18.2,0.21,Ancient
LA RUGONETA,6,54.5%,50.4%,0.80,77.8%,30.0%,19.5%,27.6,0.31,Ancient
Nouns fe,10,51.2%,56.7%,0.87,73.7%,21.8%,24.3%,35.2,0.28,Ancient
Ninjas in Pyjamas,37,51.2%,50.8%,0.83,76.1%,25.9%,20.2%,23.8,0.26,Ancient
ODDIK,73,53.4%,52.8%,0.83,74.0%,30.4%,19.9%,27.6,0.25,Ancient
Teamwork,3,53.1%,42.2%,0.97,70.4%,40.5%,23.1%,21.6,0.22,Ancient
huge sweaty,4,49.5%,54.8%,0.91,70.6%,23.8%,21.5%,14.5,0.17,Ancient
E-Xolos LAZER,29,51.9%,50.6%,0.82,73.4%,29.8%,20.6%,22.5,0.34,Ancient
HeizerS,2,49.1%,39.6%,0.81,76.2%,31.2%,28.9%,15.1,0.40,Ancient
00NATION,1,46.7%,40.0%,0.80,75.0%,27.8%,21.2%,28.6,0.37,Ancient
FlyQuest,25,53.6%,48.0%,0.80,75.1%,33.8%,19.1%,30.3,0.30,Ancient
Atrix,7,47.6%,54.8%,0.82,62.5%,29.9%,21.0%,21.2,0.30,Ancient
FTW,10,49.6%,53.8%,0.85,66.7%,29.7%,23.2%,26.8,0.32,Ancient
Rare Atom,25,52.4%,47.4%,0.85,75.2%,31.9%,19.5%,27.2,0.25,Ancient
Shimmer,9,52.0%,52.0%,0.84,74.4%,27.7%,20.8%,25.5,0.14,Ancient
Permitta,97,52.3%,50.0%,0.83,73.4%,31.2%,20.3%,26.7,0.22,Ancient
GET BDOG'D,2,52.6%,39.5%,0.82,86.7%,30.4%,23.7%,35.7,0.18,Ancient
W7M fe,4,47.8%,46.4%,0.80,68.8%,29.7%,16.2%,26.5,0.25,Ancient
Niory,4,52.6%,41.3%,0.96,67.7%,42.2%,20.7%,15.2,0.13,Ancient
Solid,58,52.1%,50.7%,0.81,72.8%,31.0%,20.0%,24.3,0.23,Ancient
G2,28,52.0%,50.7%,0.83,70.1%,33.3%,21.2%,23.6,0.25,Ancient
RUSH B,32,52.9%,50.6%,0.83,73.5%,31.8%,20.9%,26.6,0.29,Ancient
B8,69,51.5%,49.8%,0.85,73.0%,30.3%,22.9%,21.8,0.18,Ancient
Illyrians,2,59.1%,54.5%,0.91,79.2%,35.0%,21.2%,34.4,0.25,Ancient
PERA,31,50.3%,49.2%,0.85,72.4%,28.8%,20.9%,24.2,0.20,Ancient
Punishers,4,55.8%,47.7%,0.72,75.6%,37.8%,16.5%,21.9,0.31,Ancient
cleanup crew fe,6,51.8%,48.7%,0.84,81.8%,23.7%,24.0%,20.0,0.21,Ancient
Astralis,27,53.9%,50.1%,0.84,79.5%,27.9%,19.2%,28.9,0.30,Ancient
undefined,5,53.4%,53.4%,0.87,70.9%,33.3%,22.7%,24.5,0.41,Ancient
5W,4,54.7%,52.9%,0.76,66.7%,41.5%,18.3%,24.3,0.21,Ancient
TSM Impact,9,49.2%,48.6%,0.87,71.3%,28.3%,22.4%,25.0,0.25,Ancient
Rocket,14,50.8%,49.6%,0.82,72.0%,29.9%,22.2%,23.1,0.21,Ancient
Lotus,3,50.0%,50.0%,0.75,73.3%,26.7%,18.3%,18.3,0.18,Ancient
Insilio,44,49.7%,50.8%,0.84,69.9%,29.0%,20.4%,27.3,0.23,Ancient
Nordix,4,47.2%,53.9%,0.84,70.8%,19.5%,22.6%,25.6,0.22,Ancient
PALOMA,2,59.2%,55.1%,0.73,77.8%,36.4%,20.5%,26.3,0.29,Ancient
KingPins,3,53.0%,54.5%,0.76,72.2%,30.0%,22.8%,15.5,0.12,Ancient
Eternal Fire Academy,1,46.7%,63.3%,0.90,63.2%,18.2%,20.2%,27.9,0.37,Ancient
Newhappy,9,49.2%,49.7%,0.82,72.2%,26.5%,21.2%,20.9,0.31,Ancient
Intense,21,52.2%,53.3%,0.84,71.9%,29.8%,22.1%,20.4,0.27,Ancient
VP.Prodigy,21,50.1%,48.4%,0.83,73.8%,28.0%,24.2%,27.4,0.23,Ancient
500,25,51.1%,50.7%,0.79,73.1%,28.5%,20.6%,26.7,0.23,Ancient
Virtus.pro,41,51.5%,51.3%,0.81,73.5%,28.4%,19.4%,23.4,0.26,Ancient
TMVG,3,52.9%,60.8%,0.86,77.4%,15.0%,26.2%,16.4,0.16,Ancient
Sangal,45,52.6%,51.3%,0.84,74.9%,28.8%,21.6%,22.7,0.27,Ancient
Gucci Academy,6,52.1%,55.2%,0.87,73.4%,26.2%,20.5%,31.6,0.18,Ancient
RED Canids,48,50.1%,51.2%,0.81,72.8%,26.4%,20.6%,23.8,0.24,Ancient
JANO,17,51.9%,50.4%,0.82,72.1%,31.3%,19.6%,21.8,0.20,Ancient
Elevate,39,51.6%,49.4%,0.83,71.6%,31.8%,23.8%,26.8,0.18,Ancient
MIBR Academy,10,48.9%,46.2%,0.80,71.2%,29.8%,19.3%,24.9,0.24,Ancient
Gaimin Gladiators,38,50.9%,51.5%,0.78,70.3%,30.4%,20.0%,29.6,0.34,Ancient
Anonymo,27,51.1%,47.6%,0.87,73.9%,30.6%,23.7%,28.1,0.26,Ancient
Onyx Ravens,7,52.9%,49.3%,0.86,77.9%,28.6%,19.0%,19.9,0.30,Ancient
FURIA,19,49.8%,53.8%,0.82,68.5%,28.0%,17.9%,25.2,0.23,Ancient
GUN5,59,51.3%,49.3%,0.82,72.0%,31.2%,21.0%,22.0,0.26,Ancient
UNPAID,4,50.6%,50.6%,0.82,69.0%,31.7%,17.8%,12.9,0.28,Ancient
inSanitY,25,51.7%,51.8%,0.78,71.5%,30.2%,19.4%,24.6,0.30,Ancient
1WIN Gang,4,48.0%,56.0%,0.97,63.2%,27.9%,22.1%,21.4,0.21,Ancient
Gods Reign,27,50.8%,51.1%,0.84,71.8%,28.9%,20.4%,23.5,0.18,Ancient
RUBY,36,51.6%,53.0%,0.81,72.5%,27.9%,20.4%,24.8,0.25,Ancient
Let Her Cook,12,56.2%,47.8%,0.89,80.0%,34.4%,21.0%,24.9,0.14,Ancient
Wildcard,52,53.1%,54.0%,0.82,76.6%,25.6%,20.6%,24.9,0.27,Ancient
The Suspect,16,50.4%,49.9%,0.89,68.6%,32.0%,18.9%,27.4,0.32,Ancient
Insomnia,4,48.5%,54.6%,0.75,61.1%,32.6%,20.4%,26.2,0.34,Ancient
GL Prism,1,43.5%,30.4%,1.00,71.4%,31.2%,22.2%,21.7,0.13,Ancient
samaloyod,1,52.4%,52.4%,0.90,68.2%,35.0%,19.9%,30.3,0.17,Ancient
GR,25,50.6%,50.4%,0.85,71.9%,29.0%,21.1%,24.4,0.23,Ancient
kONO,17,50.4%,53.7%,0.75,73.7%,23.4%,21.8%,22.5,0.20,Ancient
Belfast Storm,2,56.8%,59.5%,0.78,81.8%,20.0%,21.4%,26.6,0.32,Ancient
MYSKILL,1,56.5%,65.2%,0.65,66.7%,37.5%,23.0%,16.0,0.30,Ancient
MOUZ NXT,58,51.1%,51.4%,0.81,71.0%,30.1%,21.3%,24.8,0.22,Ancient
Steel Helmet,9,51.1%,56.2%,0.86,69.7%,27.8%,17.0%,20.6,0.13,Ancient
Heimo,15,51.1%,50.6%,0.82,72.0%,29.7%,21.7%,27.0,0.28,Ancient
NOFEAR5,2,54.1%,56.8%,0.76,71.4%,31.2%,18.5%,22.2,0.38,Ancient
eHawks,3,54.8%,54.2%,0.75,71.8%,35.3%,16.5%,21.4,0.23,Ancient
DMS,36,50.1%,49.2%,0.81,72.0%,28.9%,19.0%,22.6,0.24,Ancient
Metizport,60,52.1%,50.7%,0.80,73.2%,30.5%,21.7%,21.2,0.24,Ancient
Croatia,1,54.3%,51.4%,0.77,72.2%,35.3%,31.4%,36.9,0.14,Ancient
Apeks,34,51.5%,48.2%,0.79,72.1%,32.4%,16.6%,20.8,0.17,Ancient
ENTiTY,2,51.3%,43.6%,1.03,58.8%,45.5%,23.2%,14.3,0.21,Ancient
Bounty Hunters,16,50.9%,50.3%,0.81,73.0%,28.5%,18.9%,22.5,0.27,Ancient
Lynn Vision,28,50.2%,50.7%,0.81,73.1%,26.8%,22.7%,21.2,0.25,Ancient
Guild Eagles,27,50.4%,52.6%,0.83,69.4%,29.5%,21.3%,27.7,0.26,Ancient
Passion UA,76,52.0%,50.8%,0.81,72.2%,31.2%,21.9%,22.8,0.25,Ancient
AMKAL,22,50.1%,51.9%,0.85,70.0%,28.5%,20.1%,23.4,0.18,Ancient
ex-ThunderFlash,5,51.8%,45.6%,0.84,82.7%,25.8%,18.7%,16.6,0.26,Ancient
BLEED,52,50.1%,50.3%,0.81,70.2%,29.7%,19.8%,22.7,0.20,Ancient
VFE,2,46.7%,44.4%,0.80,80.0%,20.0%,20.4%,12.7,0.18,Ancient
Spirit Academy,28,52.2%,49.1%,0.82,71.2%,34.0%,20.2%,24.1,0.29,Ancient
TSM,40,52.3%,52.2%,0.81,69.9%,33.2%,21.4%,26.8,0.21,Ancient
Turkey,1,54.2%,50.0%,0.92,91.7%,16.7%,17.1%,27.1,0.12,Ancient
Revenant,24,50.3%,50.2%,0.83,70.6%,29.7%,21.0%,19.0,0.24,Ancient
Monte Gen,17,51.5%,54.7%,0.82,72.1%,27.1%,19.6%,21.4,0.27,Ancient
red demon,2,55.6%,47.2%,0.83,82.4%,31.6%,30.8%,14.3,0.03,Ancient
DETONATE,8,46.9%,51.4%,0.78,71.1%,21.2%,24.9%,27.1,0.27,Ancient
BRUTE,1,59.1%,54.5%,0.68,83.3%,30.0%,29.0%,18.0,0.23,Ancient
EXO,6,52.8%,51.7%,0.88,82.4%,21.4%,19.7%,18.3,0.19,Ancient
UNiTY,37,50.2%,48.4%,0.84,71.5%,30.3%,19.9%,25.6,0.19,Ancient
DUSTY,2,51.4%,51.4%,0.74,77.8%,23.5%,21.6%,19.3,0.37,Ancient
FLuffy Gangsters,28,52.4%,50.7%,0.81,75.2%,29.0%,20.6%,24.0,0.23,Ancient
BOSS,51,49.6%,49.5%,0.82,70.4%,29.2%,23.0%,25.3,0.25,Ancient
777,14,51.3%,54.5%,0.85,69.8%,29.4%,20.9%,22.2,0.20,Ancient
ALLINNERS,3,51.1%,47.7%,0.80,64.3%,39.1%,22.9%,29.2,0.12,Ancient
9INE,57,50.3%,51.5%,0.82,72.9%,26.5%,21.1%,20.7,0.27,Ancient
KOI,28,50.0%,50.6%,0.79,71.6%,28.0%,20.2%,27.8,0.26,Ancient
Sampi,66,51.1%,51.1%,0.82,71.5%,29.6%,19.2%,24.5,0.29,Ancient
Chinggis Warriors,13,52.3%,51.2%,0.83,73.6%,29.9%,16.3%,20.0,0.25,Ancient
Sashi,31,51.3%,51.7%,0.82,71.3%,30.0%,20.7%,25.8,0.30,Ancient
