Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
PERA,21,19 - 23,45.2%,94.7%,21.7%,Mirage
Spirit,37,41 - 33,55.4%,95.1%,9.1%,Mirage
ALLINNERS,3,4 - 2,66.7%,100.0%,0.0%,Mirage
Aurora,60,62 - 58,51.7%,91.8%,34.5%,Mirage
NewBALLS,2,2 - 2,50.0%,50.0%,0.0%,Mirage
MIBR fe,9,11 - 7,61.1%,100.0%,28.6%,Mirage
Turkey,4,3 - 5,37.5%,66.7%,20.0%,Mirage
Pantsu,1,1 - 1,50.0%,100.0%,0.0%,Mirage
IKLA,1,2 - 0,100.0%,100.0%,-,Mirage
DRILLAS,13,13 - 13,50.0%,84.6%,23.1%,Mirage
M80,26,25 - 27,48.1%,75.0%,18.5%,Mirage
Gods Reign,17,14 - 20,41.2%,92.9%,31.6%,Mirage
Natus Vincere,38,40 - 36,52.6%,85.0%,8.3%,Mirage
RED Canids Academy,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Johnny Speeds,63,72 - 54,57.1%,84.7%,24.1%,Mirage
Lore,5,5 - 5,50.0%,40.0%,0.0%,Mirage
CYBERSHOKE,27,27 - 27,50.0%,81.5%,7.4%,Mirage
Fearless Cheetahs,5,6 - 4,60.0%,66.7%,0.0%,Mirage
ex-Enterprise,3,3 - 3,50.0%,100.0%,33.3%,Mirage
For Fun,2,2 - 2,50.0%,100.0%,0.0%,Mirage
The MongolZ,47,56 - 38,59.6%,87.0%,13.2%,Mirage
Bromo,8,10 - 6,62.5%,80.0%,50.0%,Mirage
Monarch Realm,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Metizport,70,72 - 68,51.4%,73.6%,19.1%,Mirage
Bad News Bears,3,3 - 3,50.0%,100.0%,0.0%,Mirage
ex-ThunderFlash,1,0 - 2,0.0%,-,0.0%,Mirage
ECLOT,65,61 - 69,46.9%,85.2%,15.9%,Mirage
-72c,8,8 - 8,50.0%,100.0%,0.0%,Mirage
Sangal,43,54 - 32,62.8%,90.7%,12.5%,Mirage
Drippy Lab,3,5 - 1,83.3%,80.0%,0.0%,Mirage
adalYamigos,9,12 - 6,66.7%,91.7%,0.0%,Mirage
RUBY,22,21 - 23,47.7%,85.7%,17.4%,Mirage
Strife,6,4 - 8,33.3%,100.0%,0.0%,Mirage
Revenge,2,2 - 2,50.0%,50.0%,0.0%,Mirage
dream catchers fe,8,9 - 7,56.2%,55.6%,0.0%,Mirage
500,37,34 - 40,45.9%,88.2%,10.0%,Mirage
Vikings KR,27,27 - 27,50.0%,88.9%,11.1%,Mirage
G3,4,4 - 4,50.0%,75.0%,25.0%,Mirage
Monte,63,62 - 64,49.2%,83.9%,21.9%,Mirage
FaZe,31,29 - 33,46.8%,96.6%,12.1%,Mirage
devils.one,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Onliners5,2,2 - 2,50.0%,50.0%,50.0%,Mirage
PARIVISION,51,54 - 48,52.9%,90.7%,25.0%,Mirage
red demon,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Arcade,7,9 - 5,64.3%,88.9%,0.0%,Mirage
cspojat,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Final Form,4,3 - 5,37.5%,100.0%,0.0%,Mirage
Insomnia,2,3 - 1,75.0%,33.3%,0.0%,Mirage
GL Prism,2,3 - 1,75.0%,100.0%,0.0%,Mirage
Enigma,1,2 - 0,100.0%,100.0%,-,Mirage
Kraken,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Esprots,2,2 - 2,50.0%,100.0%,0.0%,Mirage
SR Nacague,4,3 - 5,37.5%,100.0%,20.0%,Mirage
RKON,5,4 - 6,40.0%,100.0%,16.7%,Mirage
Bad News Chickens,9,9 - 9,50.0%,88.9%,33.3%,Mirage
Project G,4,5 - 3,62.5%,100.0%,0.0%,Mirage
B8,89,94 - 84,52.8%,85.1%,25.0%,Mirage
ECSTATIC,20,25 - 15,62.5%,79.2%,13.3%,Mirage
The Suspect,12,16 - 8,66.7%,81.2%,12.5%,Mirage
cleanup crew fe,4,3 - 5,37.5%,66.7%,20.0%,Mirage
ATOX,10,9 - 11,45.0%,88.9%,9.1%,Mirage
GARAZA,2,1 - 3,25.0%,100.0%,0.0%,Mirage
RED Canids,64,74 - 54,57.8%,89.2%,13.0%,Mirage
fightclub,3,2 - 4,33.3%,100.0%,0.0%,Mirage
MOUZ NXT,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Astralis,24,22 - 26,45.8%,81.8%,30.8%,Mirage
BetBoom,46,52 - 40,56.5%,88.5%,22.5%,Mirage
KingPins,2,1 - 3,25.0%,100.0%,0.0%,Mirage
SNOGARD Dragons,2,3 - 1,75.0%,100.0%,0.0%,Mirage
BEE,2,2 - 2,50.0%,50.0%,0.0%,Mirage
9 Pandas,39,38 - 40,48.7%,81.1%,17.5%,Mirage
iNation,5,7 - 3,70.0%,71.4%,33.3%,Mirage
Knaeskydd,2,3 - 1,75.0%,66.7%,100.0%,Mirage
ex-Guild Eagles,3,5 - 1,83.3%,80.0%,0.0%,Mirage
Let's go golfing,3,4 - 2,66.7%,75.0%,0.0%,Mirage
Elevate,32,37 - 27,57.8%,89.2%,11.1%,Mirage
France fe,2,3 - 1,75.0%,66.7%,0.0%,Mirage
Betera,5,7 - 3,70.0%,71.4%,0.0%,Mirage
Superfkrs,2,2 - 2,50.0%,50.0%,0.0%,Mirage
777,6,5 - 7,41.7%,100.0%,0.0%,Mirage
Aurora Young Blud,33,31 - 35,47.0%,80.6%,2.9%,Mirage
Dreams To Legends,1,2 - 0,100.0%,50.0%,-,Mirage
Trouble makers,9,9 - 9,50.0%,100.0%,11.1%,Mirage
Seleção do bt0,1,0 - 2,0.0%,-,50.0%,Mirage
TSM,50,40 - 60,40.0%,90.0%,23.3%,Mirage
DMS,39,45 - 33,57.7%,88.9%,27.3%,Mirage
Cloud9,30,32 - 28,53.3%,90.6%,7.1%,Mirage
paiN,49,44 - 54,44.9%,90.9%,25.9%,Mirage
ex-ENEIDA,4,4 - 4,50.0%,75.0%,0.0%,Mirage
kONO,21,26 - 16,61.9%,88.5%,6.2%,Mirage
Guild Eagles,32,34 - 30,53.1%,85.3%,16.7%,Mirage
Nemiga,26,26 - 26,50.0%,80.8%,3.8%,Mirage
Badass,7,5 - 9,35.7%,80.0%,22.2%,Mirage
HEROIC,34,32 - 36,47.1%,90.6%,8.3%,Mirage
SovvyKiNG,3,4 - 2,66.7%,75.0%,100.0%,Mirage
BIG EQUIPA,16,15 - 17,46.9%,80.0%,11.8%,Mirage
BESTIA,56,58 - 54,51.8%,89.7%,24.1%,Mirage
BIG Academy,4,3 - 5,37.5%,100.0%,0.0%,Mirage
Endpoint,76,72 - 80,47.4%,86.1%,19.0%,Mirage
GUN5,37,39 - 35,52.7%,92.3%,11.4%,Mirage
MIBR Academy,12,10 - 14,41.7%,100.0%,21.4%,Mirage
Into the Breach,49,54 - 44,55.1%,83.3%,11.4%,Mirage
TIMACETA,3,2 - 4,33.3%,50.0%,0.0%,Mirage
M1X KS,2,0 - 4,0.0%,-,25.0%,Mirage
The Art of War,10,10 - 10,50.0%,80.0%,0.0%,Mirage
K27,7,7 - 7,50.0%,100.0%,28.6%,Mirage
Galorys,14,17 - 11,60.7%,82.4%,18.2%,Mirage
The Huns,14,13 - 15,46.4%,76.9%,20.0%,Mirage
SEAW,2,1 - 3,25.0%,100.0%,33.3%,Mirage
ARCRED,25,23 - 27,46.0%,82.6%,18.5%,Mirage
E-Xolos LAZER,17,17 - 17,50.0%,64.7%,5.9%,Mirage
ROFLAN SQUAD,1,1 - 1,50.0%,100.0%,100.0%,Mirage
Passion UA,78,71 - 85,45.5%,80.3%,22.4%,Mirage
BC.Game,18,23 - 13,63.9%,91.3%,23.1%,Mirage
esmagaB,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Winter,1,1 - 1,50.0%,100.0%,0.0%,Mirage
RESILIENCE,2,2 - 2,50.0%,100.0%,50.0%,Mirage
Poland fe,3,4 - 2,66.7%,75.0%,0.0%,Mirage
INFINITE,9,10 - 8,55.6%,100.0%,25.0%,Mirage
30 Seconds To Win,1,0 - 2,0.0%,-,0.0%,Mirage
LEON,4,3 - 5,37.5%,66.7%,60.0%,Mirage
ex-FORZE Ladies,2,0 - 4,0.0%,-,25.0%,Mirage
Kungi,1,1 - 1,50.0%,100.0%,0.0%,Mirage
GUILD fe,8,6 - 10,37.5%,83.3%,30.0%,Mirage
The Witchers,9,10 - 8,55.6%,100.0%,0.0%,Mirage
Sharks,52,56 - 48,53.8%,89.3%,10.4%,Mirage
QUAZAR,6,9 - 3,75.0%,77.8%,0.0%,Mirage
Shimmer,15,15 - 15,50.0%,80.0%,13.3%,Mirage
Let Her Cook,9,8 - 10,44.4%,100.0%,20.0%,Mirage
Juggernauts,2,3 - 1,75.0%,66.7%,0.0%,Mirage
Revenant,25,26 - 24,52.0%,84.6%,16.7%,Mirage
SGGT,4,4 - 4,50.0%,100.0%,0.0%,Mirage
The Chosen Few,8,9 - 7,56.2%,66.7%,28.6%,Mirage
FLuffy Gangsters,17,15 - 19,44.1%,93.3%,0.0%,Mirage
Secret,11,12 - 10,54.5%,100.0%,0.0%,Mirage
FORZE,22,22 - 22,50.0%,81.8%,27.3%,Mirage
Permitta,94,99 - 89,52.7%,83.8%,30.3%,Mirage
Capcarap,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Sampi,71,68 - 74,47.9%,82.4%,17.6%,Mirage
True Rippers,12,14 - 10,58.3%,85.7%,50.0%,Mirage
VP.Prodigy,8,6 - 10,37.5%,66.7%,50.0%,Mirage
FlyQuest,9,12 - 6,66.7%,83.3%,0.0%,Mirage
Sprout,10,11 - 9,55.0%,81.8%,22.2%,Mirage
RUNnGUN,2,2 - 2,50.0%,50.0%,50.0%,Mirage
OG,14,15 - 13,53.6%,93.3%,16.7%,Mirage
Espionage,25,29 - 21,58.0%,82.8%,19.0%,Mirage
GALAXY,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Enterprise Gen,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Virtus.pro,29,30 - 28,51.7%,76.7%,7.1%,Mirage
Eternal Fire,24,23 - 25,47.9%,91.3%,12.0%,Mirage
NOM,13,11 - 15,42.3%,81.8%,6.7%,Mirage
Falcons,21,21 - 21,50.0%,90.5%,19.0%,Mirage
Kappa Bar,8,7 - 9,43.8%,85.7%,22.2%,Mirage
Liquid,25,23 - 27,46.0%,87.0%,25.9%,Mirage
BOSS,26,27 - 25,51.9%,66.7%,4.0%,Mirage
Bad News Kangaroos,11,10 - 12,45.5%,90.0%,25.0%,Mirage
NAVI Junior,28,26 - 30,46.4%,76.9%,20.0%,Mirage
Pompa,2,2 - 2,50.0%,100.0%,0.0%,Mirage
Spirit fe,12,13 - 11,54.2%,84.6%,0.0%,Mirage
privateshow,1,1 - 1,50.0%,100.0%,0.0%,Mirage
panelinha,1,2 - 0,100.0%,50.0%,-,Mirage
sunday school,4,5 - 3,62.5%,100.0%,33.3%,Mirage
LBS Nyköping,1,1 - 1,50.0%,100.0%,0.0%,Mirage
ex-Sprout,2,2 - 2,50.0%,50.0%,0.0%,Mirage
bullpeek,1,2 - 0,100.0%,100.0%,-,Mirage
Sashi,52,52 - 52,50.0%,90.4%,15.4%,Mirage
Wisby Gymnasiet,1,2 - 0,100.0%,100.0%,-,Mirage
NITRO,4,4 - 4,50.0%,75.0%,50.0%,Mirage
Zero Tenacity,72,68 - 76,47.2%,80.9%,18.4%,Mirage
9 Pandas Fearless,1,0 - 2,0.0%,-,0.0%,Mirage
Party Astronauts,31,31 - 31,50.0%,93.3%,12.9%,Mirage
Slovakia,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Romania,3,2 - 4,33.3%,100.0%,25.0%,Mirage
Monte Gen,14,15 - 13,53.6%,66.7%,7.7%,Mirage
Divina fe,5,6 - 4,60.0%,83.3%,25.0%,Mirage
timbermen,17,13 - 21,38.2%,92.3%,19.0%,Mirage
Insilio,41,38 - 44,46.3%,81.6%,22.7%,Mirage
Vantage,12,10 - 14,41.7%,90.0%,21.4%,Mirage
NIP Impact,11,16 - 6,72.7%,80.0%,0.0%,Mirage
Verdant,7,8 - 6,57.1%,75.0%,16.7%,Mirage
lajtbitexe,9,9 - 9,50.0%,88.9%,22.2%,Mirage
SINNERS,65,65 - 65,50.0%,87.7%,12.3%,Mirage
my life be like,4,5 - 3,62.5%,100.0%,0.0%,Mirage
Belfast Storm,1,0 - 2,0.0%,-,50.0%,Mirage
1WIN,25,32 - 18,64.0%,71.9%,0.0%,Mirage
Meteor,3,5 - 1,83.3%,60.0%,0.0%,Mirage
Patins da Ferrari,12,12 - 12,50.0%,100.0%,25.0%,Mirage
personaa,1,2 - 0,100.0%,50.0%,-,Mirage
MightyWolves,1,2 - 0,100.0%,100.0%,-,Mirage
BLEED,45,47 - 43,52.2%,78.7%,11.6%,Mirage
TSM Impact,9,8 - 10,44.4%,100.0%,20.0%,Mirage
AMKAL,24,26 - 22,54.2%,88.5%,9.1%,Mirage
Carpe Diem,6,5 - 7,41.7%,80.0%,42.9%,Mirage
LAG,26,24 - 28,46.2%,95.8%,14.3%,Mirage
Space,39,39 - 39,50.0%,79.5%,10.3%,Mirage
EVO-Cyber,1,1 - 1,50.0%,100.0%,0.0%,Mirage
GamerLegion,39,34 - 44,43.6%,79.4%,18.2%,Mirage
Case,64,58 - 70,45.3%,87.9%,7.1%,Mirage
PeeP,3,3 - 3,50.0%,100.0%,0.0%,Mirage
Akimbo,17,19 - 15,55.9%,68.4%,20.0%,Mirage
9z,33,37 - 29,56.1%,75.7%,10.3%,Mirage
Serbia,6,7 - 5,58.3%,71.4%,0.0%,Mirage
Alliance,36,34 - 38,47.2%,82.4%,10.5%,Mirage
System5,7,7 - 7,50.0%,42.9%,0.0%,Mirage
Aether,4,5 - 3,62.5%,80.0%,0.0%,Mirage
Young Ninjas,15,16 - 14,53.3%,81.2%,14.3%,Mirage
Hype,21,21 - 21,50.0%,85.7%,4.8%,Mirage
G2,22,29 - 15,65.9%,93.1%,0.0%,Mirage
Phoenix,3,4 - 2,66.7%,100.0%,50.0%,Mirage
The Prodigies,7,9 - 5,64.3%,88.9%,0.0%,Mirage
V1dar,3,4 - 2,66.7%,75.0%,0.0%,Mirage
LYG,5,4 - 6,40.0%,75.0%,50.0%,Mirage
Wings Up,2,2 - 2,50.0%,100.0%,0.0%,Mirage
Legacy IN,2,1 - 3,25.0%,100.0%,0.0%,Mirage
Onliners5,1,1 - 1,50.0%,100.0%,100.0%,Mirage
ENCE Academy,19,18 - 20,47.4%,82.4%,25.0%,Mirage
Mindfreak,20,15 - 25,37.5%,80.0%,12.0%,Mirage
EYEBALLERS,62,63 - 61,50.8%,82.5%,15.0%,Mirage
CPH Wolves,37,26 - 48,35.1%,92.3%,14.6%,Mirage
GODSENT,17,17 - 17,50.0%,88.2%,11.8%,Mirage
Czech Republic,2,1 - 3,25.0%,100.0%,0.0%,Mirage
BLUDS,1,2 - 0,100.0%,100.0%,-,Mirage
AURA,2,1 - 3,25.0%,100.0%,33.3%,Mirage
XNL,2,2 - 2,50.0%,50.0%,0.0%,Mirage
Asian Kings,1,0 - 2,0.0%,-,0.0%,Mirage
Mythic,22,21 - 23,47.7%,85.7%,17.4%,Mirage
FLUFFY MAFIA,2,2 - 2,50.0%,100.0%,0.0%,Mirage
UNiTY,25,21 - 29,42.0%,85.7%,13.8%,Mirage
FAVBET,1,2 - 0,100.0%,50.0%,-,Mirage
Nigma Galaxy,3,2 - 4,33.3%,100.0%,0.0%,Mirage
2 Dollar Spaghetti,1,2 - 0,100.0%,100.0%,-,Mirage
FLUFFY AIMERS,28,26 - 30,46.4%,84.6%,10.0%,Mirage
TUSTE CHOPAKI,1,2 - 0,100.0%,100.0%,-,Mirage
Apeks,20,23 - 17,57.5%,82.6%,5.9%,Mirage
NA savers,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Priority,2,1 - 3,25.0%,100.0%,0.0%,Mirage
Marcos,7,7 - 7,50.0%,57.1%,0.0%,Mirage
Divine Vendetta,1,1 - 1,50.0%,100.0%,0.0%,Mirage
RUSH B,12,13 - 11,54.2%,84.6%,18.2%,Mirage
WDNMD,2,1 - 3,25.0%,0.0%,0.0%,Mirage
W7M,31,28 - 34,45.2%,78.6%,23.5%,Mirage
MIBR,34,33 - 35,48.5%,81.8%,0.0%,Mirage
PUBG aim,3,6 - 0,100.0%,100.0%,-,Mirage
fnatic,19,18 - 20,47.4%,88.9%,20.0%,Mirage
ENCE,19,13 - 25,34.2%,76.9%,20.0%,Mirage
WOPA,8,7 - 9,43.8%,85.7%,33.3%,Mirage
jahsdnmasjdm,5,5 - 5,50.0%,80.0%,40.0%,Mirage
WW,8,9 - 7,56.2%,100.0%,0.0%,Mirage
Entropiq,12,12 - 12,50.0%,83.3%,0.0%,Mirage
Enterprise,33,34 - 32,51.5%,76.5%,12.5%,Mirage
FURIA,33,30 - 36,45.5%,83.3%,11.1%,Mirage
Carnival,2,2 - 2,50.0%,50.0%,0.0%,Mirage
ShindeN,5,5 - 5,50.0%,80.0%,0.0%,Mirage
PGE Turow,6,8 - 4,66.7%,75.0%,0.0%,Mirage
EC BANGA,2,2 - 2,50.0%,100.0%,0.0%,Mirage
sYnck,12,9 - 15,37.5%,77.8%,6.7%,Mirage
BIG,12,10 - 14,41.7%,90.0%,28.6%,Mirage
SENSEI,5,6 - 4,60.0%,100.0%,25.0%,Mirage
SINNERS Academy,1,1 - 1,50.0%,100.0%,0.0%,Mirage
brazylijski luz,10,9 - 11,45.0%,88.9%,18.2%,Mirage
Croatia,2,3 - 1,75.0%,33.3%,100.0%,Mirage
atputies,1,0 - 2,0.0%,-,0.0%,Mirage
Lilmix,20,13 - 27,32.5%,92.3%,14.8%,Mirage
megoshort,3,3 - 3,50.0%,100.0%,33.3%,Mirage
Wildcard,11,14 - 8,63.6%,64.3%,25.0%,Mirage
FORZE Ladies,1,0 - 2,0.0%,-,0.0%,Mirage
Illuminar,34,32 - 36,47.1%,78.1%,2.8%,Mirage
KZG,1,1 - 1,50.0%,100.0%,100.0%,Mirage
9INE,30,32 - 28,53.3%,78.1%,7.1%,Mirage
Datejust,1,2 - 0,100.0%,100.0%,-,Mirage
Lazer Cats,6,9 - 3,75.0%,88.9%,0.0%,Mirage
Rare Atom,20,17 - 23,42.5%,88.2%,13.0%,Mirage
K10,4,4 - 4,50.0%,75.0%,0.0%,Mirage
LaChampionsLiga,2,3 - 1,75.0%,100.0%,0.0%,Mirage
Solid,45,38 - 52,42.2%,81.6%,9.6%,Mirage
500 Rush,2,3 - 1,75.0%,100.0%,0.0%,Mirage
Ninjas in Pyjamas,19,12 - 26,31.6%,75.0%,7.7%,Mirage
Rebels,37,35 - 39,47.3%,80.0%,17.9%,Mirage
ENCE Athena,6,3 - 9,25.0%,100.0%,22.2%,Mirage
Tobikoerad,2,2 - 2,50.0%,100.0%,0.0%,Mirage
Gucci Academy,1,1 - 1,50.0%,0.0%,0.0%,Mirage
One More,9,9 - 9,50.0%,66.7%,22.2%,Mirage
KRÜ,13,10 - 16,38.5%,80.0%,12.5%,Mirage
Nexus,51,53 - 49,52.0%,90.6%,6.1%,Mirage
TEMP,1,2 - 0,100.0%,100.0%,-,Mirage
thekillaz fe,1,1 - 1,50.0%,100.0%,0.0%,Mirage
9INE Academy,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Revenge Nation,10,9 - 11,45.0%,88.9%,0.0%,Mirage
FURIA Academy,17,15 - 19,44.1%,86.7%,0.0%,Mirage
JiJieHao,1,1 - 1,50.0%,100.0%,100.0%,Mirage
Limitless,15,15 - 15,50.0%,80.0%,20.0%,Mirage
Take Flyte,21,18 - 24,42.9%,94.4%,17.4%,Mirage
MIGHT,16,14 - 18,43.8%,85.7%,5.6%,Mirage
Nouns fe,10,9 - 11,45.0%,88.9%,9.1%,Mirage
Dusty Roots,15,18 - 12,60.0%,88.9%,33.3%,Mirage
NKT,4,5 - 3,62.5%,80.0%,0.0%,Mirage
Locke's Kittens,2,2 - 2,50.0%,100.0%,0.0%,Mirage
WahWah,3,3 - 3,50.0%,66.7%,0.0%,Mirage
ARAVT,1,1 - 1,50.0%,0.0%,0.0%,Mirage
MAG,3,3 - 3,50.0%,66.7%,0.0%,Mirage
MYSKILL,2,1 - 3,25.0%,100.0%,0.0%,Mirage
iM Apartments,1,2 - 0,100.0%,100.0%,-,Mirage
GenOne,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Jordan,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Heimo,8,7 - 9,43.8%,85.7%,25.0%,Mirage
Vaseline Worms,1,0 - 2,0.0%,-,0.0%,Mirage
Flamengo,8,4 - 12,25.0%,100.0%,0.0%,Mirage
Angel numbers,2,3 - 1,75.0%,100.0%,0.0%,Mirage
paiN Academy,6,5 - 7,41.7%,80.0%,0.0%,Mirage
Steel Helmet,12,13 - 11,54.2%,84.6%,0.0%,Mirage
Norway fe,2,0 - 4,0.0%,-,0.0%,Mirage
GR,13,11 - 15,42.3%,100.0%,13.3%,Mirage
Cloud 10,4,3 - 5,37.5%,66.7%,0.0%,Mirage
YeYO,1,1 - 1,50.0%,100.0%,100.0%,Mirage
Lotus fe,7,9 - 5,64.3%,77.8%,0.0%,Mirage
Kyoto,2,3 - 1,75.0%,100.0%,0.0%,Mirage
DXA,16,17 - 15,53.1%,70.6%,13.3%,Mirage
ALTERNATE aTTaX,43,34 - 52,39.5%,79.4%,21.2%,Mirage
Lemondogs,3,3 - 3,50.0%,33.3%,33.3%,Mirage
Reason,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Apogee,6,5 - 7,41.7%,80.0%,42.9%,Mirage
ONi,3,4 - 2,66.7%,75.0%,50.0%,Mirage
ECF,2,3 - 1,75.0%,100.0%,0.0%,Mirage
G2 Ares,5,5 - 5,50.0%,100.0%,0.0%,Mirage
Lotus,1,0 - 2,0.0%,-,50.0%,Mirage
W7M fe,2,2 - 2,50.0%,100.0%,0.0%,Mirage
st4rboys,2,2 - 2,50.0%,0.0%,50.0%,Mirage
Rhyno,8,8 - 8,50.0%,75.0%,12.5%,Mirage
Israel,2,0 - 4,0.0%,-,50.0%,Mirage
AY,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Intense,13,12 - 14,46.2%,75.0%,0.0%,Mirage
TNL,6,2 - 10,16.7%,100.0%,20.0%,Mirage
ROSOMAHA,4,4 - 4,50.0%,50.0%,0.0%,Mirage
Corinthians,13,12 - 14,46.2%,66.7%,21.4%,Mirage
Bulgaria,2,1 - 3,25.0%,0.0%,0.0%,Mirage
Pak Boyz,3,3 - 3,50.0%,100.0%,0.0%,Mirage
HAVU,15,12 - 18,40.0%,83.3%,16.7%,Mirage
Dangerous,1,0 - 2,0.0%,-,0.0%,Mirage
TMVG,4,3 - 5,37.5%,100.0%,0.0%,Mirage
Fire Flux,3,1 - 5,16.7%,100.0%,20.0%,Mirage
FORZE Reload,1,2 - 0,100.0%,0.0%,-,Mirage
ZEUS,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Quixal,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Anonymo,20,21 - 19,52.5%,71.4%,10.5%,Mirage
9z Academy,10,5 - 15,25.0%,100.0%,6.7%,Mirage
South Africa fe,2,2 - 2,50.0%,100.0%,50.0%,Mirage
Fishing The Bait,1,1 - 1,50.0%,100.0%,100.0%,Mirage
WICKED,1,2 - 0,100.0%,100.0%,-,Mirage
HSG fe,6,8 - 4,66.7%,87.5%,25.0%,Mirage
Flying Angels,2,3 - 1,75.0%,33.3%,100.0%,Mirage
Bad News Bricks,1,2 - 0,100.0%,100.0%,-,Mirage
Moon,1,1 - 1,50.0%,100.0%,0.0%,Mirage
USA,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Astralis Talent,9,8 - 10,44.4%,62.5%,0.0%,Mirage
EXO,1,0 - 2,0.0%,-,0.0%,Mirage
Nemesis fe,2,1 - 3,25.0%,100.0%,0.0%,Mirage
Kazakhstan fe,3,4 - 2,66.7%,75.0%,0.0%,Mirage
Aloha,1,0 - 2,0.0%,-,0.0%,Mirage
Coalesce,3,4 - 2,66.7%,100.0%,0.0%,Mirage
GL Academy,3,4 - 2,66.7%,100.0%,0.0%,Mirage
MIRAI,2,3 - 1,75.0%,66.7%,0.0%,Mirage
entropik ostrava,1,1 - 1,50.0%,100.0%,0.0%,Mirage
GENKID4M4,2,0 - 4,0.0%,-,33.3%,Mirage
The QUBE,2,1 - 3,25.0%,100.0%,0.0%,Mirage
PEAK fe,3,4 - 2,66.7%,100.0%,0.0%,Mirage
ThunderFlash,3,2 - 4,33.3%,100.0%,25.0%,Mirage
Smoke fe,2,1 - 3,25.0%,100.0%,0.0%,Mirage
MAKING HISTORY,2,0 - 4,0.0%,-,0.0%,Mirage
KOI,10,6 - 14,30.0%,66.7%,0.0%,Mirage
TALON,6,5 - 7,41.7%,80.0%,0.0%,Mirage
inSanitY fe,2,1 - 3,25.0%,100.0%,0.0%,Mirage
regain,4,3 - 5,37.5%,100.0%,0.0%,Mirage
Crescent fe,3,3 - 3,50.0%,100.0%,0.0%,Mirage
Yawara,10,11 - 9,55.0%,81.8%,33.3%,Mirage
inSanitY,21,18 - 24,42.9%,83.3%,4.2%,Mirage
BeBold,3,2 - 4,33.3%,100.0%,0.0%,Mirage
InControl,3,0 - 6,0.0%,-,16.7%,Mirage
Uruguay3,1,2 - 0,100.0%,0.0%,-,Mirage
Argentina fe,1,1 - 1,50.0%,100.0%,0.0%,Mirage
JANO,15,13 - 17,43.3%,69.2%,17.6%,Mirage
Molotov,2,4 - 0,100.0%,50.0%,-,Mirage
Canada,3,5 - 1,83.3%,80.0%,0.0%,Mirage
STORM,2,2 - 2,50.0%,50.0%,0.0%,Mirage
NoChance,2,2 - 2,50.0%,100.0%,0.0%,Mirage
Nixuh,2,2 - 2,50.0%,50.0%,0.0%,Mirage
Chinggis Warriors,5,4 - 6,40.0%,100.0%,0.0%,Mirage
LOS,1,1 - 1,50.0%,100.0%,0.0%,Mirage
LA RUGONETA,2,1 - 3,25.0%,0.0%,33.3%,Mirage
CEPTER,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Housebets,3,2 - 4,33.3%,100.0%,0.0%,Mirage
Perseverance,2,1 - 3,25.0%,100.0%,33.3%,Mirage
showmakerz,5,3 - 7,30.0%,66.7%,14.3%,Mirage
Hawks,7,7 - 7,50.0%,85.7%,0.0%,Mirage
Canada fe,2,0 - 4,0.0%,-,25.0%,Mirage
EK Violet,1,0 - 2,0.0%,-,50.0%,Mirage
Villainous,3,4 - 2,66.7%,75.0%,0.0%,Mirage
GhoulsW,1,0 - 2,0.0%,-,50.0%,Mirage
Nordix,2,1 - 3,25.0%,100.0%,33.3%,Mirage
VERTEX,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Viperio,2,2 - 2,50.0%,100.0%,50.0%,Mirage
Denmark fe,1,1 - 1,50.0%,100.0%,0.0%,Mirage
ORKS,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Denial,1,1 - 1,50.0%,0.0%,0.0%,Mirage
Estellar,1,0 - 2,0.0%,-,0.0%,Mirage
Daystar,2,2 - 2,50.0%,100.0%,0.0%,Mirage
LM68,1,1 - 1,50.0%,0.0%,0.0%,Mirage
FALKE,1,1 - 1,50.0%,100.0%,100.0%,Mirage
INGLORIOUS,3,3 - 3,50.0%,100.0%,33.3%,Mirage
SUBUTAI,2,2 - 2,50.0%,100.0%,0.0%,Mirage
ODG,1,1 - 1,50.0%,100.0%,0.0%,Mirage
Snakes Den,4,3 - 5,37.5%,66.7%,0.0%,Mirage
