Times played,Wins / draws / losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Group,Team,Map Name
34,17 / 0 / 17,718,367,50.0%,68,33,48.5%,46.8%,55.1%,america_rmr,Nouns,Vertigo
30,21 / 0 / 9,646,361,70.0%,60,33,55.0%,52.9%,58.7%,america_rmr,Wildcard,Vertigo
9,5 / 0 / 4,176,87,55.6%,18,7,38.9%,54.8%,41.7%,america_rmr,KRÜ,Vertigo
31,16 / 0 / 15,646,337,51.6%,62,30,48.4%,52.7%,51.6%,america_rmr,RED Canids,Vertigo
0,0 / 0 / 0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,america_rmr,BESTIA,Vertigo
34,16 / 0 / 18,723,354,47.1%,68,33,48.5%,48.4%,49.5%,america_rmr,Case,Vertigo
0,0 / 0 / 0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,asia_rmr,The MongolZ,Vertigo
11,7 / 0 / 4,245,139,63.6%,22,10,45.5%,58.2%,55.3%,asia_rmr,FlyQuest,Vertigo
7,2 / 0 / 5,150,72,28.6%,14,7,50.0%,44.0%,53.0%,asia_rmr,Lynn Vision,Vertigo
12,7 / 0 / 5,254,134,58.3%,24,13,54.2%,49.6%,56.3%,asia_rmr,Rare Atom,Vertigo
8,4 / 0 / 4,180,92,50.0%,16,9,56.2%,48.9%,53.4%,asia_rmr,TALON,Vertigo
1,0 / 0 / 1,21,8,0.0%,2,0,0.0%,16.7%,66.7%,asia_rmr,GR,Vertigo
0,0 / 0 / 0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,asia_rmr,Alter Ego,Vertigo
3,3 / 0 / 0,53,39,100.0%,6,4,66.7%,61.5%,85.2%,asia_rmr,DRILLAS,Vertigo
